Slug,Product Name,Simplified Search Keywords,US ASIN,UK ASIN,CA ASIN,DE ASIN,FR ASIN,IT ASIN,ES ASIN,Notes
baby-einstein-neighborhood-friends-review,Baby Einstein Neighborhood Friends,Baby Einstein Neighborhood Friends,,,,,,,,
evenflo-exersaucer-triple-fun-review,Evenflo Exersaucer Triple Fun,Evenflo Exersaucer Triple Fun,,,,,,,,
fisher-price-4-in-1-step-n-play-review,Fisher Price 4 In 1 Step N Play,Fisher Price 4 In 1 Step N Play,,,,,,,,
fisher-price-rainforest-jumperoo-review,Fisher Price Rainforest Jumperoo,Fisher Price Rainforest Jumperoo,,,,,,,,
graco-doorway-bumper-jumper-review,Graco Doorway Bumper Jumper,Graco Doorway Bumper Jumper,,,,,,,,
infantino-grow-with-me-activity-center-review,Infantino Grow With Me Activity Center,Infantino Grow With Me Activity Center,,,,,,,,
skip-hop-babys-view-activity-center-review,Skip Hop Babys View Activity Center,Skip Hop Babys View Activity Center,,,,,,,,
vtech-sit-to-stand-walker-review,Vtech Sit To Stand Walker,Vtech Sit To Stand Walker,,,,,,,,
angelcare-soft-touch-bath-support-review,Angelcare Soft Touch Bath Support,Angelcare Soft Touch Bath Support,,,,,,,,
blooming-bath-lotus-review,Blooming Bath Lotus,Blooming Bath Lotus,,,,,,,,
fisher-price-4-in-1-baby-tub-review,Fisher Price 4 In 1 Baby Tub,Fisher Price 4 In 1 Baby Tub,,,,,,,,
frida-baby-4-in-1-grow-with-me-tub-review,Frida Baby 4 In 1 Grow With Me Tub,Frida Baby 4 In 1 Grow With Me Tub,,,,,,,,
puj-flyte-infant-bathtub-review,Puj Flyte Infant Bathtub,Puj Flyte Infant Bathtub,,,,,,,,
summer-infant-newborn-to-toddler-bath-review,Summer Infant Newborn To Toddler Bath,Summer Infant Newborn To Toddler Bath,,,,,,,,
4moms-rockaroo-review,4Moms Rockaroo,4Moms Rockaroo,,,,,,,,
babybjorn-bouncer-balance-soft-review,Babybjorn Bouncer Balance Soft,Babybjorn Bouncer Balance Soft,,,,,,,,
babybjorn-bouncer-bliss-review,Babybjorn Bouncer Bliss,Babybjorn Bouncer Bliss,,,,,,,,
bright-starts-comfort-harmony-bouncer-review,Bright Starts Comfort Harmony Bouncer,Bright Starts Comfort Harmony Bouncer,,,,,,,,
ergobaby-evolve-bouncer-review,Ergobaby Evolve Bouncer,Ergobaby Evolve Bouncer,,,,,,,,
fisher-price-sweet-snugapuppy-bouncer-review,Fisher Price Sweet Snugapuppy Bouncer,Fisher Price Sweet Snugapuppy Bouncer,,,,,,,,
nuna-leaf-grow-review,Nuna Leaf Grow,Nuna Leaf Grow,,,,,,,,
babybjorn-one-air-review,Babybjorn One Air,Babybjorn One Air,,,,,,,,
lillebaby-complete-airflow-review,Lillebaby Complete Airflow,Lillebaby Complete Airflow,,,,,,,,
moby-wrap-original-review,Moby Wrap Original,Moby Wrap Original,,,,,,,,
solly-baby-wrap-review,Solly Baby Wrap,Solly Baby Wrap,,,,,,,,
baby-brezza-food-maker-review,Baby Brezza Food Maker,Baby Brezza Food Maker,,,,,,,,
beaba-babycook-solo-review,Beaba Babycook Solo,Beaba Babycook Solo,,,,,,,,
cuisinart-baby-food-maker-review,Cuisinart Baby Food Maker,Cuisinart Baby Food Maker,,,,,,,,
infantino-squeeze-station-review,Infantino Squeeze Station,Infantino Squeeze Station,,,,,,,,
kiinde-kozii-bottle-warmer-review,Kiinde Kozii Bottle Warmer,Kiinde Kozii Bottle Warmer,,,,,,,,
munchkin-fresh-food-blender-review,Munchkin Fresh Food Blender,Munchkin Fresh Food Blender,,,,,,,,
nutribullet-baby-food-maker-review,Nutribullet Baby Food Maker,Nutribullet Baby Food Maker,,,,,,,,
babydan-premier-pressure-gate-review,Babydan Premier Pressure Gate,Babydan Premier Pressure Gate,,,,,,,,
cardinal-gates-stairway-special-review,Cardinal Gates Stairway Special,Cardinal Gates Stairway Special,,,,,,,,
evenflo-position-lock-tall-gate-review,Evenflo Position Lock Tall Gate,Evenflo Position Lock Tall Gate,,,,,,,,
munchkin-easy-close-gate-review,Munchkin Easy Close Gate,Munchkin Easy Close Gate,,,,,,,,
north-states-easy-swing-gate-review,North States Easy Swing Gate,North States Easy Swing Gate,,,,,,,,
safety-1st-easy-install-gate-review,Safety 1St Easy Install Gate,Safety 1St Easy Install Gate,,,,,,,,
summer-infant-multi-use-gate-review,Summer Infant Multi Use Gate,Summer Infant Multi Use Gate,,,,,,,,
baby-delight-snuggle-nest-review,Baby Delight Snuggle Nest,Baby Delight Snuggle Nest,,,,,,,,
boppy-lounger-review,Boppy Lounger,Boppy Lounger,,,,,,,,
dockatot-deluxe-plus-review,Dockatot Deluxe Plus,Dockatot Deluxe Plus,,,,,,,,
fisher-price-sit-me-up-floor-seat-review,Fisher Price Sit Me Up Floor Seat,Fisher Price Sit Me Up Floor Seat,,,,,,,,
leachco-podster-sling-review,Leachco Podster Sling,Leachco Podster Sling,,,,,,,,
snuggle-me-organic-lounger-review,Snuggle Me Organic Lounger,Snuggle Me Organic Lounger,,,,,,,,
summer-infant-pop-n-sit-review,Summer Infant Pop N Sit,Summer Infant Pop N Sit,,,,,,,,
fridababy-nailfrida-review,Fridababy Nailfrida,Fridababy Nailfrida,,,,,,,,
little-martins-electric-nail-drill-review,Little Martins Electric Nail Drill,Little Martins Electric Nail Drill,,,,,,,,
nuby-nail-care-kit-review,Nuby Nail Care Kit,Nuby Nail Care Kit,,,,,,,,
piyo-piyo-nail-care-set-review,Piyo Piyo Nail Care Set,Piyo Piyo Nail Care Set,,,,,,,,
safety-1st-nail-care-kit-review,Safety 1St Nail Care Kit,Safety 1St Nail Care Kit,,,,,,,,
zoli-buzz-b-nail-trimmer-review,Zoli Buzz B Nail Trimmer,Zoli Buzz B Nail Trimmer,,,,,,,,
4moms-mamaroo-4-review,4Moms Mamaroo 4,4Moms Mamaroo 4,,,,,,,,
baby-trend-ez-ride-swing-review,Baby Trend Ez Ride Swing,Baby Trend Ez Ride Swing,,,,,,,,
fisher-price-deluxe-bouncer-review,Fisher Price Deluxe Bouncer,Fisher Price Deluxe Bouncer,,,,,,,,
fisher-price-sweet-snugapuppy-cradle-swing-review,Fisher Price Sweet Snugapuppy Cradle Swing,Fisher Price Sweet Snugapuppy Cradle Swing,,,,,,,,
graco-duoglider-swing-review,Graco Duoglider Swing,Graco Duoglider Swing,,,,,,,,
graco-soothing-system-glider-review,Graco Soothing System Glider,Graco Soothing System Glider,,,,,,,,
ingenuity-convertme-swing-review,Ingenuity Convertme Swing,Ingenuity Convertme Swing,,,,,,,,
braun-thermoscan-7-review,Braun Thermoscan 7,Braun Thermoscan 7,,,,,,,,
exergen-temporal-artery-thermometer-review,Exergen Temporal Artery Thermometer,Exergen Temporal Artery Thermometer,,,,,,,,
frida-baby-3-in-1-thermometer-review,Frida Baby 3 In 1 Thermometer,Frida Baby 3 In 1 Thermometer,,,,,,,,
frida-baby-quick-read-thermometer-review,Frida Baby Quick Read Thermometer,Frida Baby Quick Read Thermometer,,,,,,,,
iproven-dmt-489-thermometer-review,Iproven Dmt 489 Thermometer,Iproven Dmt 489 Thermometer,,,,,,,,
kinsa-quickcare-thermometer-review,Kinsa Quickcare Thermometer,Kinsa Quickcare Thermometer,,,,,,,,
