Product Name,Category,Old ASIN,Search URL,New ASIN,Status
Comotomo Baby Bottle,Nursing Feeding,B004C053BA,https://www.amazon.com/s?k=Comotomo+Baby+Bottle,[PASTE HERE],
Haakaa Silicone Breast Pump Gen 2,Breast Pumps,B07CWK4S5W,https://www.amazon.com/s?k=Haakaa+Silicone+Breast+Pump,[PASTE HERE],
Philips Avent Anti-Colic Bottle,Nursing Feeding,B0961QRR5K,https://www.amazon.com/s?k=Philips+Avent+Anti-Colic,[PASTE HERE],
Bright Starts Tummy Time Prop & Play,Play Mats,B07FX5F7NR,https://www.amazon.com/s?k=Bright+Starts+Tummy+Time,[PASTE HERE],
Fisher-Price Deluxe Kick 'n Play Piano Gym,Play Mats,B07BQNQKN5,https://www.amazon.com/s?k=Fisher-Price+Piano+Gym,[PASTE HERE],
Lovevery Play Gym,Play Mats,B07Q38BVCK,https://www.amazon.com/s?k=Lovevery+Play+Gym,[PASTE HERE],
Skip Hop Explore & More Baby Play Mat,Play Mats,B07H1P5JN4,https://www.amazon.com/s?k=Skip+Hop+Play+Mat,[PASTE HERE],
Levoit LV600HH Hybrid Ultrasonic Humidifier,Humidifiers,B07V1P3YQC,https://www.amazon.com/s?k=Levoit+LV600HH,[PASTE HERE],
Pure Enrichment MistAire Ultrasonic Cool Mist Humidifier,Humidifiers,B013IJPTFK,https://www.amazon.com/s?k=Pure+Enrichment+MistAire,[PASTE HERE],
Safety 1st 360 Degree Ultrasonic Humidifier,Humidifiers,B07BVGTXWD,https://www.amazon.com/s?k=Safety+1st+Humidifier,[PASTE HERE],
Nuby Silicone Spout Sippy Cup,Sippy Cups,B07BGLXFHQ,https://www.amazon.com/s?k=Nuby+Sippy+Cup,[PASTE HERE],
Pura Kiki Stainless Steel Sippy Cup,Sippy Cups,B07RJMQC73,https://www.amazon.com/s?k=Pura+Stainless+Sippy,[PASTE HERE],
Tommee Tippee First Sips Trainer Cup,Sippy Cups,B09BRDP8SR,https://www.amazon.com/s?k=Tommee+Tippee+Trainer+Cup,[PASTE HERE],
Babyzen YOYO2 Stroller,Strollers,B0856NX5D7,https://www.amazon.com/s?k=Babyzen+YOYO2,[PASTE HERE],
Doona Infant Car Seat & Stroller,Strollers,B07HML1BT5,https://www.amazon.com/s?k=Doona+Car+Seat+Stroller,[PASTE HERE],
Graco Modes Pramette Travel System,Strollers,B07Y5VQYFW,https://www.amazon.com/s?k=Graco+Modes+Pramette,[PASTE HERE],
Spectra S1 Plus Electric Breast Pump,Breast Pumps,B00DBKFFJM,https://www.amazon.com/s?k=Spectra+S1+Plus,[PASTE HERE],
Spectra S2 Plus,Breast Pumps,B00BLBLR1I,https://www.amazon.com/s?k=Spectra+S2+Plus,[PASTE HERE],
Angelcare Soft Touch Bath Support,Baby Bathtubs,B00BKJOM0U,https://www.amazon.com/s?k=Angelcare+Bath+Support,[PASTE HERE],
BabyBjörn Bouncer Bliss,Baby Bouncers,B07XF8VP6M,https://www.amazon.com/s?k=BabyBjorn+Bouncer+Bliss,[PASTE HERE],
Solly Baby Wrap Carrier,Baby Carriers,B09QXS5KRN,https://www.amazon.com/s?k=Solly+Baby+Wrap,[PASTE HERE],
Kiinde Kozii Bottle Warmer,Baby Food Makers,B00Q74NCVS,https://www.amazon.com/s?k=Kiinde+Kozii+Warmer,[PASTE HERE],
Snuggle Me Organic Lounger,Baby Loungers,B075RJ9LYW,https://www.amazon.com/s?k=Snuggle+Me+Organic,[PASTE HERE],
SNOO Smart Sleeper Bassinet,Cribs,B0716KN18Z,https://www.amazon.com/s?k=SNOO+Smart+Sleeper,[PASTE HERE],
Storkcraft Tuscany 4-in-1 Convertible Crib,Cribs,B07BZ5TNMW,https://www.amazon.com/s?k=Storkcraft+Tuscany,[PASTE HERE],
Arlo Baby Monitor,Monitors,B072XZH4SB,https://www.amazon.com/s?k=Arlo+Baby+Monitor,[PASTE HERE],
Infant Optics DXR-8 Pro,Monitors,B08FF4GV5C,https://www.amazon.com/s?k=Infant+Optics+DXR-8,[PASTE HERE],
Nanit Pro Smart Baby Monitor,Monitors,B0FTSL4FXJ,https://www.amazon.com/s?k=Nanit+Pro+Monitor,[PASTE HERE],
Owlet Dream Sock,Monitors,B09QY3FKWM,https://www.amazon.com/s?k=Owlet+Dream+Sock,[PASTE HERE],
Babyletto Tuba Swivel Glider,Nursing Chairs,B07ZCFQX5N,https://www.amazon.com/s?k=Babyletto+Tuba+Glider,[PASTE HERE],
DaVinci Olive Upholstered Swivel Glider,Nursing Chairs,B07BYFQN26,https://www.amazon.com/s?k=DaVinci+Olive+Glider,[PASTE HERE],
Fisher-Price Laugh & Learn Smart Stages Potty,Potty Training,B07Y5DVXZB,https://www.amazon.com/s?k=Fisher-Price+Potty,[PASTE HERE],
Jool Baby Potty Training Seat,Potty Training,B07WBFN7HQ,https://www.amazon.com/s?k=Jool+Potty+Seat,[PASTE HERE],
Sophie la Girafe Teether,Teething Toys,B000IXKWEG,https://www.amazon.com/s?k=Sophie+la+Girafe,[PASTE HERE],
DaVinci Kalani 4-in-1 Convertible Crib,Cribs,B000FT7NSI,https://www.amazon.com/s?k=DaVinci+Kalani,[PASTE HERE],
