Category,Product Name,Retailer,URL,Price,In Stock,Domain,Region
Activity Centers,Baby Einstein Neighborhood Friends Activity Jumper,amazon,https://www.amazon.com/dp/B07P7XGQRT?tag=pregnancysp0a-20,$75,true,www.amazon.com,US
Activity Centers,Evenflo ExerSaucer Triple Fun Active Learning Center,amazon,https://www.amazon.com/dp/B07N8NCDZD?tag=pregnancysp0a-20,$85,true,www.amazon.com,US
Activity Centers,Fisher-Price 4-in-1 Step 'n Play Piano,amazon,https://www.amazon.com/dp/B07H5PX5YR?tag=pregnancysp0a-20,$90,true,www.amazon.com,US
Activity Centers,Fisher-Price Rainforest Jumperoo,amazon,https://www.amazon.com/dp/B00JHPB4FK?tag=pregnancysp0a-20,$80,true,www.amazon.com,US
Activity Centers,Graco Doorway Bumper Jumper,amazon,https://www.amazon.com/dp/B07VQNYNKB?tag=pregnancysp0a-20,$35,true,www.amazon.com,US
Activity Centers,Infantino Grow-with-Me Activity Gym & Ball Pit,amazon,https://www.amazon.com/dp/B07T2H8V9L?tag=pregnancysp0a-20,$50,true,www.amazon.com,US
Activity Centers,Skip Hop Baby's View 3-Stage Activity Center,amazon,https://www.amazon.com/dp/B07TPVKMNB?tag=pregnancysp0a-20,$100,true,www.amazon.com,US
Activity Centers,VTech Sit-to-Stand Learning Walker,amazon,https://www.amazon.com/dp/B00CQXSFB6?tag=pregnancysp0a-20,$35,true,www.amazon.com,US
Baby Bathtubs,Angelcare Soft Touch Baby Bath Support,amazon,https://www.amazon.com/dp/B00BKJOM0U?tag=pregnancysp0a-20,$35,true,www.amazon.com,US
Baby Bathtubs,Blooming Bath Lotus,amazon,https://www.amazon.com/dp/B01N42JV9H?tag=pregnancysp0a-20,$39,true,www.amazon.com,US
Baby Bathtubs,Fisher-Price 4-in-1 Sling 'n Seat Baby Tub,amazon,https://www.amazon.com/dp/B082N6GH9Z?tag=pregnancysp0a-20,$35,true,www.amazon.com,US
Baby Bathtubs,FridaBaby 4-in-1 Grow-with-Me Baby Bathtub,amazon,https://www.amazon.com/dp/B094WXVX8T?tag=pregnancysp0a-20,$50,true,www.amazon.com,US
Baby Bathtubs,Puj Flyte Compact Infant Bathtub,amazon,https://www.amazon.com/dp/B008PZ9VXY?tag=pregnancysp0a-20,$44,true,www.amazon.com,US
Baby Bathtubs,Summer Infant Newborn-to-Toddler Bath Center and Shower,amazon,https://www.amazon.com/dp/B01N14DMLQ?tag=pregnancysp0a-20,$40,true,www.amazon.com,US
Baby Bouncers,4moms rockaRoo Baby Swing,amazon,https://www.amazon.com/dp/B0BTQQYNPG?tag=pregnancysp0a-20,$179,true,www.amazon.com,US
Baby Bouncers,BabyBjörn Bouncer Balance Soft,amazon,https://www.amazon.com/dp/B016DAWD2S?tag=pregnancysp0a-20,$269,true,www.amazon.com,US
Baby Bouncers,BabyBjörn Bouncer Bliss,amazon,https://www.amazon.com/dp/B07XF8VP6M?tag=pregnancysp0a-20,$310,true,www.amazon.com,US
Baby Bouncers,Bright Starts Comfort and Harmony Cradling Bouncer,amazon,https://www.amazon.com/dp/B07Q97N24X?tag=pregnancysp0a-20,$35,true,www.amazon.com,US
Baby Bouncers,Ergobaby Evolve 3-in-1 Bouncer,amazon,https://www.amazon.com/dp/B0BF31VXSX?tag=pregnancysp0a-20,$249,true,www.amazon.com,US
Baby Bouncers,Fisher-Price Sweet Snugapuppy Deluxe Bouncer Seat,amazon,https://www.amazon.com/dp/B08T16G4VZ?tag=pregnancysp0a-20,$45,true,www.amazon.com,US
Baby Bouncers,Nuna LEAF Grow Baby Seat,amazon,https://www.amazon.com/dp/B07D7ZJH9P?tag=pregnancysp0a-20,$265,true,www.amazon.com,US
Baby Carriers,BabyBjörn Baby Carrier ONE Air,amazon,https://www.amazon.com/dp/B07QXRH6WW?tag=pregnancysp0a-20,$209,true,www.amazon.com,US
Baby Carriers,LÍLLÉbaby Complete Airflow Carrier,amazon,https://www.amazon.com/dp/B09S1C5ZHL?tag=pregnancysp0a-20,$129,true,www.amazon.com,US
Baby Carriers,Moby Wrap Original Baby Carrier,amazon,https://www.amazon.com/dp/B004ZJQ52Y?tag=pregnancysp0a-20,$45,true,www.amazon.com,US
Baby Carriers,Solly Baby Wrap Carrier,amazon,https://www.amazon.com/dp/B09QXS5KRN?tag=pregnancysp0a-20,$78,true,www.amazon.com,US
Baby Food Makers,Baby Brezza One Step Baby Food Maker,amazon,https://www.amazon.com/dp/B00NSXE6MM?tag=pregnancysp0a-20,$70,true,www.amazon.com,US
Baby Food Makers,BEABA Babycook Solo Baby Food Maker,amazon,https://www.amazon.com/dp/B07QYMG68L?tag=pregnancysp0a-20,$150,true,www.amazon.com,US
Baby Food Makers,Cuisinart Baby Food Maker and Bottle Warmer,amazon,https://www.amazon.com/dp/B078MG8P2S?tag=pregnancysp0a-20,$75,true,www.amazon.com,US
Baby Food Makers,Infantino Squeeze Station,amazon,https://www.amazon.com/dp/B00DQSV25E?tag=pregnancysp0a-20,$22,true,www.amazon.com,US
Baby Food Makers,Kiinde Kozii Bottle Warmer and Breast Milk Warmer,amazon,https://www.amazon.com/dp/B00Q74NCVS?tag=pregnancysp0a-20,$50,true,www.amazon.com,US
Baby Food Makers,Munchkin FRESH Baby Food Blender,amazon,https://www.amazon.com/dp/B072N8GGWR?tag=pregnancysp0a-20,$30,true,www.amazon.com,US
Baby Food Makers,NutriBullet Baby Complete Food-Making System,amazon,https://www.amazon.com/dp/B07RNPG53G?tag=pregnancysp0a-20,$80,true,www.amazon.com,US
Baby Gates,BabyDan Premier Pressure Mount Baby Gate,amazon,https://www.amazon.com/dp/B07ZTXT3CS?tag=pregnancysp0a-20,$85,true,www.amazon.com,US
